coin_name,repository_name,stars,forks,issuesAndPullRequest,watchers,currency,price,volumeChange24h,percentChange1h,percentChange24h,percentChange7d,percentChange30d,percentChange60d,percentChange90d,coin_ts,repository_ts
Internet Computer,ic,1644,345,277,75,USD,5.745960033584131,32.7259,0.59014031,-0.06454576,25.05199761,9.28294959,8.07717314,-18.95142292,2025-05-12T21:34:46.919957900Z,2025-05-12T21:34:40.322414600Z
Internet Computer,ic,1644,345,277,75,USD,5.768617669326344,32.8901,0.78160234,0.10348028,25.42520738,9.8129492,8.44448069,-19.12010528,2025-05-12T21:39:46.287922600Z,2025-05-12T21:39:39.292553900Z
Internet Computer,ic,1644,345,277,75,USD,5.774458922810948,32.8801,0.65297115,0.52186673,25.82416588,10.00500176,8.41548706,-19.16089252,2025-05-12T21:44:46.457402700Z,2025-05-12T21:44:39.174324900Z
Internet Computer,ic,1644,345,277,75,USD,5.769471295552384,32.9658,0.66780486,0.44980713,25.75083466,9.90071687,8.21131364,-19.30892454,2025-05-12T21:49:46.502075800Z,2025-05-12T21:49:39.098339300Z
Internet Computer,ic,1644,345,277,75,USD,5.753958778154302,32.7638,0.30940992,-0.13429458,25.23998403,9.64664455,7.6994934,-19.39825767,2025-05-12T21:54:46.231513800Z,2025-05-12T21:54:38.951235100Z
Internet Computer,ic,1644,345,277,75,USD,5.76231168681286,32.8472,0.10064585,-0.10159457,25.21392636,9.94297218,7.76748104,-19.38868032,2025-05-12T21:59:46.434010900Z,2025-05-12T21:59:38.973861Z
Internet Computer,ic,1644,345,277,75,USD,5.749705505616401,33.2828,0.03495954,-0.55762178,24.8088526,9.59909272,7.40757152,-19.61592532,2025-05-12T22:04:46.227286600Z,2025-05-12T22:04:38.970556200Z
Internet Computer,ic,1644,345,277,75,USD,5.7562674647276735,33.1107,0.10082228,0.09110426,24.92435732,9.85174225,7.15656954,-19.62251807,2025-05-12T22:09:46.246788100Z,2025-05-12T22:09:39.032577600Z
Internet Computer,ic,1644,345,277,75,USD,5.7440108490051545,32.738,-0.34962093,-0.48917459,24.62445537,9.65415725,6.79477952,-19.75741251,2025-05-12T22:14:46.244504700Z,2025-05-12T22:14:39.152350900Z
Internet Computer,ic,1644,345,277,75,USD,5.747207676334767,32.9371,-0.39523887,-0.36841847,24.5218984,9.5606434,7.19937407,-19.71411613,2025-05-12T22:19:46.259890100Z,2025-05-12T22:19:39.010834300Z
Internet Computer,ic,1644,345,278,75,USD,5.6850796138197905,37.4207,-1.24181388,-1.80328803,23.67572888,8.43567486,4.38190569,-19.91183417,2025-05-13T00:17:47.939968300Z,2025-05-13T00:17:39.936377200Z
Internet Computer,ic,1644,345,278,75,USD,5.689324582515367,37.4213,-1.17490824,-1.74515133,23.81759713,8.41942907,4.36678633,-19.80632846,2025-05-13T00:20:12.855848800Z,2025-05-13T00:20:21.144196500Z
Internet Computer,ic,1644,345,278,75,USD,5.694203466465738,38.3724,-1.41166723,-1.71898715,23.83700367,8.53249956,4.66615272,-19.52212824,2025-05-13T00:25:12.191423100Z,2025-05-13T00:25:19.987271700Z
Internet Computer,ic,1644,345,278,75,USD,5.685937069240342,38.7187,-1.59770458,-2.14777489,23.30129244,8.44704315,4.33583029,-19.7511818,2025-05-13T00:30:12.229890900Z,2025-05-13T00:30:19.879660500Z
Internet Computer,ic,1644,345,278,75,USD,5.679052401166478,39.8675,-1.22905475,-2.71081438,22.98038109,8.37280242,3.94130876,-20.27551012,2025-05-13T00:35:12.266251200Z,2025-05-13T00:35:19.857433900Z
Internet Computer,ic,1644,345,278,75,USD,5.676176088095177,40.0958,-1.41605966,-2.92828398,23.16089829,8.21163119,3.96967804,-20.40807544,2025-05-13T00:40:12.200880100Z,2025-05-13T00:40:19.866894700Z
Internet Computer,ic,1644,345,278,75,USD,5.675016501661343,40.5969,-1.39062805,-2.88477244,23.29855615,8.25745505,3.71261567,-20.20078206,2025-05-13T00:45:12.300771200Z,2025-05-13T00:45:19.899182900Z
Internet Computer,ic,1644,345,278,75,USD,5.666792158334368,40.7769,-1.49419414,-2.84195378,23.19867894,7.92949563,3.44880892,-20.29443605,2025-05-13T00:50:12.204318800Z,2025-05-13T00:50:20.025572800Z
Internet Computer,ic,1644,345,278,75,USD,5.663686698295672,40.774,-1.54482437,-2.78234576,23.32396739,8.01093242,3.15941335,-20.77873684,2025-05-13T00:55:12.197820500Z,2025-05-13T00:55:19.845783600Z
Internet Computer,ic,1644,345,278,75,USD,5.669827228101093,41.1024,-1.20414711,-2.5627978,23.32586737,8.20398742,3.35577511,-20.82739797,2025-05-13T01:00:13.036165800Z,2025-05-13T01:00:19.794730200Z
Internet Computer,ic,1644,345,278,75,USD,5.657094483484945,42.5284,-1.1924203,-2.8188045,22.92244992,8.09292906,3.59044706,-21.09373615,2025-05-13T01:05:12.212709100Z,2025-05-13T01:05:20.372819400Z
Internet Computer,ic,1644,345,278,75,USD,5.660467813861308,42.7688,-1.08434825,-2.93788672,23.17191848,8.30461286,3.75822074,-20.99088031,2025-05-13T01:10:12.279270700Z,2025-05-13T01:10:20.313324800Z
Internet Computer,ic,1644,345,278,75,USD,5.64244146708933,42.8286,-0.90695875,-3.46827178,22.47311009,7.80529745,3.37573242,-21.02258231,2025-05-13T01:15:12.247396400Z,2025-05-13T01:15:20.113536700Z
Internet Computer,ic,1644,345,279,75,USD,5.6379982170170715,43.0219,-0.90215218,-3.40964376,22.13736127,7.86421392,3.365741,-20.80990556,2025-05-13T01:20:12.253124100Z,2025-05-13T01:20:19.961240700Z
Internet Computer,ic,1644,345,279,75,USD,5.6340379720442595,43.424,-1.05660949,-2.99839943,21.76735288,7.97033562,3.26161157,-20.7247625,2025-05-13T01:25:12.231254600Z,2025-05-13T01:25:19.950304200Z
Internet Computer,ic,1644,345,279,75,USD,5.6326191593184145,43.8736,-0.93771544,-2.88525244,21.81645573,7.98852491,3.0936032,-20.80081492,2025-05-13T01:30:12.227110900Z,2025-05-13T01:30:20.020427900Z
Internet Computer,ic,1644,345,279,75,USD,5.6142844188324,44.1004,-1.14047164,-2.9804141,21.59411831,7.75998072,2.52812971,-21.09070955,2025-05-13T01:35:12.253710600Z,2025-05-13T01:35:19.788570500Z
Internet Computer,ic,1644,345,279,75,USD,5.606974379599253,44.4801,-1.21916071,-2.4776683,21.58366002,7.74440423,2.2459276,-21.24903993,2025-05-13T01:40:12.228950Z,2025-05-13T01:40:19.856425500Z
