Coin,Target,Model,R2,MSE,MAE,Mean,Std,Var
Internet Computer,price,LinearRegression,0.7435,0.0135,0.0965,5.4661,0.1967,0.0387
Internet Computer,price,KNN,0.8695,0.0068,0.0606,5.5086,0.1869,0.0349
Internet Computer,price,SVM,0.8673,0.0070,0.0681,5.4734,0.2006,0.0402
Internet Computer,price,DecisionTree,0.9317,0.0036,0.0401,5.4658,0.2210,0.0488
Internet Computer,price,RandomForest,0.9321,0.0036,0.0398,5.4652,0.2213,0.0490
Internet Computer,volumeChange24h,LinearRegression,0.2689,267.4284,12.4932,-8.4766,9.5213,90.6555
Internet Computer,volumeChange24h,KNN,0.8832,42.7229,3.9726,-6.5452,18.1693,330.1228
Internet Computer,volumeChange24h,SVM,0.1382,315.2419,10.0881,-10.4313,5.8013,33.6549
Internet Computer,volumeChange24h,DecisionTree,0.8903,40.1419,4.4433,-8.0241,17.9593,322.5354
Internet Computer,volumeChange24h,RandomForest,0.8903,40.1161,4.1850,-8.0745,18.0817,326.9482
Internet Computer,percentChange1h,LinearRegression,0.0353,0.9478,0.7500,-0.0927,0.1600,0.0256
Internet Computer,percentChange1h,KNN,0.0819,0.9020,0.6624,0.1156,0.6913,0.4779
Internet Computer,percentChange1h,SVM,0.1240,0.8607,0.6969,-0.0966,0.3639,0.1324
Internet Computer,percentChange1h,DecisionTree,0.2132,0.7731,0.6258,-0.1211,0.4405,0.1940
Internet Computer,percentChange1h,RandomForest,0.2135,0.7728,0.6200,-0.1205,0.4402,0.1938
Internet Computer,percentChange24h,LinearRegression,0.0326,15.0830,3.4559,-1.7750,0.4847,0.2349
Internet Computer,percentChange24h,KNN,0.4800,8.1073,1.9630,-1.1047,3.2411,10.5050
Internet Computer,percentChange24h,SVM,0.4054,9.2703,2.3697,-1.5502,2.5653,6.5806
Internet Computer,percentChange24h,DecisionTree,0.6075,6.1196,1.7763,-2.0166,2.9479,8.6901
Internet Computer,percentChange24h,RandomForest,0.6073,6.1224,1.7739,-2.0264,2.9439,8.6665
Internet Computer,percentChange7d,LinearRegression,0.9017,16.5651,3.1446,7.7497,12.2951,151.1706
Internet Computer,percentChange7d,KNN,0.9826,2.9319,1.1289,8.6895,12.1967,148.7585
Internet Computer,percentChange7d,SVM,0.9625,6.3258,1.9034,7.6699,12.2841,150.9003
Internet Computer,percentChange7d,DecisionTree,0.9872,2.1534,1.1468,7.9418,13.0444,170.1562
Internet Computer,percentChange7d,RandomForest,0.9879,2.0432,1.0927,7.9318,13.0224,169.5818
Internet Computer,percentChange30d,LinearRegression,0.3200,6.1181,2.0347,12.4104,1.8465,3.4094
Internet Computer,percentChange30d,KNN,0.7523,2.2282,1.0623,12.9420,2.6469,7.0058
Internet Computer,percentChange30d,SVM,0.5990,3.6082,1.4616,12.5492,2.1261,4.5201
Internet Computer,percentChange30d,DecisionTree,0.8402,1.4373,0.8226,12.2978,2.8693,8.2330
Internet Computer,percentChange30d,RandomForest,0.8396,1.4430,0.8268,12.2954,2.8735,8.2571
Internet Computer,percentChange60d,LinearRegression,0.7585,7.3875,2.1343,-4.9730,4.7259,22.3345
Internet Computer,percentChange60d,KNN,0.9474,1.6083,0.9007,-4.5141,5.0100,25.1000
Internet Computer,percentChange60d,SVM,0.8856,3.4989,1.5207,-5.0954,4.7768,22.8176
Internet Computer,percentChange60d,DecisionTree,0.9589,1.2572,0.8845,-5.0297,5.3992,29.1510
Internet Computer,percentChange60d,RandomForest,0.9611,1.1896,0.8360,-5.0270,5.4024,29.1855
Internet Computer,percentChange90d,LinearRegression,0.7385,1.5808,1.0415,-23.5746,2.1070,4.4395
Internet Computer,percentChange90d,KNN,0.7675,1.4058,0.8628,-23.1859,1.9553,3.8233
Internet Computer,percentChange90d,SVM,0.8139,1.1254,0.7687,-23.6164,2.2300,4.9730
Internet Computer,percentChange90d,DecisionTree,0.8799,0.7264,0.5733,-23.6296,2.3120,5.3453
Internet Computer,percentChange90d,RandomForest,0.8802,0.7242,0.5714,-23.6312,2.3050,5.3130
Chainlink,price,LinearRegression,0.8298,0.0697,0.2021,16.2458,0.6039,0.3647
Chainlink,price,KNN,0.9690,0.0127,0.0808,16.2596,0.6416,0.4117
Chainlink,price,SVM,0.9433,0.0232,0.1037,16.2304,0.6415,0.4115
Chainlink,price,DecisionTree,0.9719,0.0115,0.0829,16.2519,0.6324,0.4000
Chainlink,price,RandomForest,0.9766,0.0096,0.0743,16.2553,0.6338,0.4017
Chainlink,volumeChange24h,LinearRegression,0.0587,576.2681,19.9151,-8.6875,6.9866,48.8120
Chainlink,volumeChange24h,KNN,0.9882,7.2104,1.6431,-9.3329,25.0276,626.3808
Chainlink,volumeChange24h,SVM,0.5097,300.1780,10.9843,-16.1833,11.5519,133.4459
Chainlink,volumeChange24h,DecisionTree,0.9797,12.4564,2.2688,-9.1876,24.6340,606.8347
Chainlink,volumeChange24h,RandomForest,0.9923,4.6851,1.4086,-9.5550,24.7655,613.3320
Chainlink,percentChange1h,LinearRegression,0.0426,0.9242,0.7406,-0.1539,0.1922,0.0370
